City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Kavieng,PG,-2.5744,150.7967,84.6,71,92,0.11,light rain
70,Yumen,CN,40.2833,97.2,53.56,15,0,3.78,clear sky
71,Coahuayana,MX,18.7333,-103.6833,75.67,72,0,1.81,clear sky
72,Airai,TL,-8.9266,125.4092,72.68,48,32,2.68,scattered clouds
73,Tursunzoda,TJ,38.5144,68.2333,61.68,49,47,4.92,scattered clouds
74,Salalah,OM,17.0151,54.0924,79.39,81,12,0.92,few clouds
75,Portland,US,45.5234,-122.6762,70.36,58,18,1.01,few clouds
76,Honiara,SB,-9.4333,159.95,84.18,81,100,5.99,overcast clouds
77,Albany,US,42.6001,-73.9662,75.63,49,50,1.01,scattered clouds
78,Kapiri Mposhi,ZM,-13.9652,28.6809,52.11,71,0,6.02,clear sky
79,East London,ZA,-33.0153,27.9116,55.33,65,2,8.93,clear sky
80,Butaritari,KI,3.0707,172.7902,83.39,81,100,18.75,light rain
81,Port Elizabeth,ZA,-33.918,25.5701,48.49,71,0,6.91,clear sky
82,Carnarvon,AU,-24.8667,113.6333,75.27,60,79,11.5,broken clouds
83,Chumphon,TH,10.3333,98.8333,79.38,92,100,2.24,overcast clouds
84,Castro,BR,-24.7911,-50.0119,62.04,97,100,8.08,overcast clouds
85,Kruisfontein,ZA,-34.0033,24.7314,49.37,60,16,6.76,few clouds
86,Sladkovo,RU,55.5284,70.3385,70.83,55,78,8.57,broken clouds
87,Tuatapere,NZ,-46.1333,167.6833,49.82,62,0,2.06,clear sky
88,Geraldton,AU,-28.7667,114.6,66.61,63,40,13.85,scattered clouds
89,Nikolskoye,RU,59.7035,30.7861,44.49,96,81,4.41,broken clouds
90,Thompson,CA,55.7435,-97.8558,53.76,30,1,5.75,clear sky
91,Angostura,MX,25.3667,-108.1833,80.01,54,1,5.73,clear sky
92,Massakory,TD,12.996,15.7293,88.21,16,66,6.11,broken clouds
93,Jonuta,MX,18.0833,-92.1333,78.49,81,29,3.8,scattered clouds
94,Katsuura,JP,35.1333,140.3,72.23,75,67,13.02,broken clouds
95,Jamestown,US,42.097,-79.2353,70.92,95,59,6.91,broken clouds
96,Cabedelo,BR,-6.9811,-34.8339,75.87,78,0,9.73,clear sky
97,Torbay,CA,47.6666,-52.7314,55.49,94,75,21.85,broken clouds
98,Abong Mbang,CM,3.9833,13.1833,67.55,99,100,1.72,overcast clouds
99,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,75,75,16.11,broken clouds
100,Micco,US,27.8806,-80.5003,76.08,72,32,1.01,scattered clouds
101,Ixtapa,MX,20.7,-105.2,79.23,79,1,4.0,clear sky
102,Leningradskiy,RU,69.3833,178.4167,32.77,92,100,12.35,overcast clouds
103,Mbandaka,CD,0.0487,18.2603,68.9,97,67,1.92,broken clouds
104,Ribeira Grande,PT,38.5167,-28.7,59.27,63,21,7.67,few clouds
105,Cape Town,ZA,-33.9258,18.4232,55.11,54,0,4.41,clear sky
106,Turukhansk,RU,65.8167,87.9833,47.66,89,96,14.29,overcast clouds
107,Arlit,NE,18.7369,7.3853,88.48,12,3,10.67,clear sky
108,San Quintin,MX,30.4833,-115.95,58.66,69,0,19.98,clear sky
109,Puerto Cabezas,NI,14.0351,-83.3888,77.79,89,100,8.57,overcast clouds
110,Chuy,UY,-33.6971,-53.4616,52.59,74,54,17.74,broken clouds
111,Tres Lagoas,BR,-20.7511,-51.6783,65.44,98,100,4.97,overcast clouds
112,Obo,CF,5.3998,26.4869,69.21,98,100,6.76,overcast clouds
113,Kaitangata,NZ,-46.2817,169.8464,57.92,60,13,5.46,few clouds
114,Hamilton,US,39.1834,-84.5333,75.09,69,49,3.06,scattered clouds
115,Garissa,KE,-0.4536,39.6401,73.81,79,10,17.11,clear sky
116,Vestmannaeyjar,IS,63.4427,-20.2734,40.86,83,100,9.01,overcast clouds
117,Bengkulu,ID,-3.8004,102.2655,81.66,67,50,1.07,scattered clouds
118,Palmer,US,42.1584,-72.3287,77.47,57,40,6.6,scattered clouds
119,Yulara,AU,-25.2406,130.9889,67.84,32,40,6.91,scattered clouds
120,Alofi,NU,-19.0595,-169.9187,80.49,89,90,6.91,light rain
121,Zhaotong,CN,27.3167,103.7167,57.0,91,100,5.19,overcast clouds
122,Banepa,NP,27.6298,85.5214,71.92,70,20,2.39,few clouds
123,Kenai,US,60.5544,-151.2583,47.01,72,21,6.89,few clouds
124,Magistralnyy,RU,56.1725,107.4458,52.39,34,57,9.55,broken clouds
125,Port Blair,IN,11.6667,92.75,78.84,89,75,5.75,broken clouds
126,Hithadhoo,MV,-0.6,73.0833,84.29,69,100,12.01,overcast clouds
127,Coquimbo,CL,-29.9533,-71.3436,56.93,60,0,5.5,clear sky
128,Rikitea,PF,-23.1203,-134.9692,76.23,71,1,13.33,clear sky
129,Bowen,AU,-20.0167,148.2333,75.42,71,11,16.15,few clouds
130,Port Antonio,JM,18.18,-76.4612,80.51,80,9,4.21,clear sky
131,Luba,GQ,3.4568,8.5547,76.89,84,74,4.68,broken clouds
132,Paso Del Macho,MX,18.9667,-96.7167,77.81,82,54,2.98,broken clouds
133,Codrington,AU,-38.2667,141.9667,64.76,37,4,10.11,clear sky
134,Souillac,MU,-20.5167,57.5167,70.36,75,75,17.29,light rain
135,Les Cayes,HT,18.2,-73.75,77.95,75,58,4.97,broken clouds
136,Goderich,CA,43.7501,-81.7165,70.12,78,37,5.75,scattered clouds
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.5,76,90,6.51,overcast clouds
138,Barrow,US,71.2906,-156.7887,33.82,93,90,5.75,overcast clouds
139,Savalou,BJ,7.9281,1.9756,76.75,89,100,2.82,overcast clouds
140,Saldanha,ZA,-33.0117,17.9442,57.22,51,100,8.41,overcast clouds
141,Cayenne,GF,4.9333,-52.3333,77.09,90,75,1.01,heavy intensity rain
142,Pokhara,NP,28.2333,83.9833,78.39,56,0,2.28,clear sky
143,Neyshabur,IR,36.2133,58.7958,69.3,22,7,3.91,clear sky
144,Port Alfred,ZA,-33.5906,26.891,54.95,68,0,9.98,clear sky
145,Hailar,CN,49.2,119.7,47.32,65,51,25.19,light rain
146,Nanortalik,GL,60.1432,-45.2371,34.23,69,100,4.74,overcast clouds
147,Svetlogorsk,BY,52.6333,29.7333,51.17,95,100,12.1,light rain
148,Nome,US,64.5011,-165.4064,36.1,77,87,10.02,overcast clouds
149,Sangar,RU,63.9242,127.4739,48.88,30,2,10.78,clear sky
150,Kalmunai,LK,7.4167,81.8167,81.72,72,100,5.66,overcast clouds
151,Clarence Town,AU,-32.5833,151.7833,68.94,65,46,3.62,scattered clouds
152,Taoudenni,ML,22.6783,-3.9836,93.36,21,2,7.78,clear sky
153,New Norfolk,AU,-42.7826,147.0587,59.92,63,12,1.01,few clouds
154,Khani,GE,41.9563,42.9566,51.37,99,100,3.02,overcast clouds
155,Terrace,CA,54.5163,-128.6035,60.71,58,75,6.91,broken clouds
156,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,87,90,21.85,overcast clouds
157,Oyek,RU,52.5861,104.4556,46.78,54,73,13.71,light rain
158,Matara,LK,5.9485,80.5353,81.43,84,100,11.99,overcast clouds
159,Impfondo,CG,1.6381,18.0667,70.11,97,93,2.06,overcast clouds
160,Talpa,MX,28.8257,-111.6257,91.58,26,0,1.99,clear sky
161,Deputatskiy,RU,69.3,139.9,27.3,92,100,4.83,light snow
162,Decin,CZ,50.7822,14.2148,49.17,89,49,4.18,scattered clouds
163,Pevek,RU,69.7008,170.3133,31.42,86,100,3.09,overcast clouds
164,Marzuq,YE,14.4,46.4667,76.23,16,4,5.93,clear sky
165,Waitati,NZ,-45.75,170.5667,55.44,46,0,2.8,clear sky
166,Takoradi,GH,4.8845,-1.7554,79.38,87,100,4.88,light rain
167,Kachiry,KZ,53.0675,76.1036,74.57,36,87,10.22,overcast clouds
168,Canon City,US,38.441,-105.2424,67.42,55,1,8.99,clear sky
169,Rio Gallegos,AR,-51.6226,-69.2181,39.25,93,75,3.44,broken clouds
170,Nabire,ID,-3.3667,135.4833,86.5,63,77,4.09,broken clouds
171,San Juan Del Sur,NI,11.2529,-85.8705,82.74,73,64,22.41,broken clouds
172,Severo-Yeniseyskiy,RU,60.3725,93.0408,42.55,92,100,6.76,light rain
173,Hasaki,JP,35.7333,140.8333,75.29,70,30,11.59,scattered clouds
174,Kotido,UG,2.9806,34.1331,67.41,80,51,4.94,broken clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,57.22,61,90,30.0,moderate rain
176,Oriximina,BR,-1.7656,-55.8661,76.6,88,77,3.85,broken clouds
177,Dikson,RU,73.5069,80.5464,34.0,97,100,21.79,light rain
178,Mahebourg,MU,-20.4081,57.7,70.25,88,75,9.22,broken clouds
179,Poum,NC,-20.2333,164.0167,74.75,65,1,10.69,clear sky
180,Wahpeton,US,46.2652,-96.6059,65.21,72,75,18.41,broken clouds
181,Hofn,IS,64.2539,-15.2082,40.62,77,100,13.73,overcast clouds
182,Yellowknife,CA,62.456,-114.3525,59.29,54,75,8.05,broken clouds
183,Severo-Kurilsk,RU,50.6789,156.125,45.12,67,8,2.21,clear sky
184,Balkhash,KZ,46.844,74.9804,66.81,42,0,22.37,clear sky
185,Luderitz,NA,-26.6481,15.1594,68.41,41,36,7.72,scattered clouds
186,Klaksvik,FO,62.2266,-6.589,40.12,74,30,2.39,scattered clouds
187,Buala,SB,-8.145,159.5921,83.32,78,100,6.22,moderate rain
188,Korla,CN,41.7597,86.1469,67.24,25,0,2.66,clear sky
189,Pathankot,IN,32.2833,75.65,81.66,34,100,7.85,overcast clouds
190,Juneau,US,58.3019,-134.4197,48.2,98,90,5.01,light rain
191,Lac Du Bonnet,CA,50.2536,-96.0612,48.58,89,93,5.97,overcast clouds
192,Jha Jha,IN,24.7667,86.3667,91.83,39,14,3.67,few clouds
193,Karratha,AU,-20.7377,116.8463,80.22,20,35,4.99,scattered clouds
194,Norman Wells,CA,65.282,-126.8329,59.04,47,90,8.05,overcast clouds
195,Ternate,ID,0.8,127.4,82.98,75,46,4.72,scattered clouds
196,San Carlos,VE,9.6612,-68.5827,78.6,71,31,2.91,scattered clouds
197,Bantou,CN,26.2151,117.4893,88.72,64,23,4.85,few clouds
198,Vaitape,PF,-16.5167,-151.75,81.55,69,1,11.36,clear sky
199,Visnes,NO,59.3556,5.2242,49.21,93,75,5.75,broken clouds
200,Lloydminster,CA,53.2835,-110.0016,60.48,29,20,14.97,few clouds
201,Benin,BJ,9.5,2.25,74.12,91,100,8.14,overcast clouds
202,Abha,SA,18.2164,42.5053,66.02,63,0,2.39,clear sky
203,Senador Jose Porfirio,BR,-2.5908,-51.9542,75.34,92,98,1.86,overcast clouds
204,Suntar,RU,62.1444,117.6319,57.7,24,33,2.04,scattered clouds
205,Ende,ID,-8.8432,121.6623,84.54,67,16,3.91,few clouds
206,Venado Tuerto,AR,-33.7456,-61.9688,52.79,86,100,19.48,overcast clouds
207,Sakakah,SA,29.9697,40.2064,72.97,26,0,11.27,clear sky
208,Bellevue,US,47.6104,-122.2007,65.89,68,49,1.99,scattered clouds
209,Sorata,BO,-15.7667,-68.6333,42.66,90,61,1.86,broken clouds
210,Makakilo City,US,21.3469,-158.0858,79.68,61,46,8.37,scattered clouds
211,Ransang,PH,8.9603,117.5828,85.86,69,100,3.89,overcast clouds
212,Bayan,CN,46.0833,127.4,76.66,44,100,21.14,moderate rain
213,Hermiston,US,45.8404,-119.2895,66.18,47,14,5.99,few clouds
214,Asau,RO,46.4333,26.4,56.32,75,100,4.88,overcast clouds
215,Ancud,CL,-41.8697,-73.8203,53.22,89,100,13.35,light rain
216,Urumqi,CN,43.801,87.6005,65.35,35,0,2.26,clear sky
217,Taywarah,AF,33.35,64.4167,45.19,42,0,4.97,clear sky
218,Houma,US,29.5958,-90.7195,75.99,80,1,9.22,clear sky
219,Iquique,CL,-20.2208,-70.1431,62.64,78,99,0.6,overcast clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,73.71,76,100,1.99,overcast clouds
221,Itupiranga,BR,-5.1347,-49.3267,74.41,93,100,1.32,overcast clouds
222,Kloulklubed,PW,7.0419,134.2556,83.07,74,100,5.79,overcast clouds
223,Moose Factory,CA,51.2585,-80.6094,33.8,93,90,11.5,light snow
224,Lavrentiya,RU,65.5833,-171.0,33.21,88,26,1.77,scattered clouds
225,Hambantota,LK,6.1241,81.1185,79.14,77,40,18.37,scattered clouds
226,Santa Rita,BR,-7.1139,-34.9781,75.87,100,20,3.44,few clouds
227,Hemnesberget,NO,66.2333,13.6333,41.58,74,100,8.28,overcast clouds
228,Batouri,CM,4.4333,14.3667,67.23,99,86,2.42,overcast clouds
229,Sungairaya,ID,0.7,108.9,84.87,70,91,3.85,overcast clouds
230,Tamandare,BR,-8.7597,-35.1047,78.3,67,61,7.07,broken clouds
231,Vila,PT,42.0304,-8.1588,42.33,93,0,2.95,clear sky
232,Lata,PT,40.1629,-8.3327,50.05,92,0,2.73,clear sky
233,Manzhouli,CN,49.6,117.4333,51.91,43,83,10.96,light rain
234,San Patricio,US,28.017,-97.5169,78.84,84,100,14.97,overcast clouds
235,Ugoofaaru,MV,5.6667,73.0,84.09,76,100,18.84,overcast clouds
236,Gavardo,IT,45.5894,10.4426,59.74,89,100,2.51,overcast clouds
237,Mutare,ZW,-18.9707,32.6709,54.39,94,68,1.03,light rain
238,Uyaan,PH,7.8631,124.0411,75.76,64,38,2.19,scattered clouds
239,Chumikan,RU,54.7183,135.315,34.61,98,100,11.88,light rain
240,Sovetskiy,RU,61.3614,63.5842,59.68,70,4,11.68,clear sky
241,Poykovskiy,RU,61.2333,73.3333,61.09,84,40,11.68,moderate rain
242,Bilibino,RU,68.0546,166.4372,34.72,74,97,3.0,overcast clouds
243,Yucca Valley,US,34.1142,-116.4322,68.14,32,6,4.0,clear sky
244,Manokwari,ID,-0.8667,134.0833,83.32,76,74,2.98,broken clouds
245,Rio Grande,BR,-32.035,-52.0986,56.95,63,29,21.03,scattered clouds
246,Bethel,US,41.3712,-73.414,76.93,78,100,6.11,overcast clouds
247,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,100,90,0.0,overcast clouds
248,Vardo,NO,70.3705,31.1107,34.41,60,100,17.38,overcast clouds
249,Tynset,NO,62.2759,10.7824,38.82,95,97,4.63,overcast clouds
250,Fairbanks,US,64.8378,-147.7164,53.38,55,91,1.01,overcast clouds
251,Sulangan,PH,11.1373,123.7228,84.06,69,1,5.41,clear sky
252,Cheyenne,US,41.14,-104.8203,53.83,97,75,6.91,broken clouds
253,Pithoragarh,IN,29.5833,80.2167,64.83,65,0,2.73,clear sky
254,Batagay-Alyta,RU,67.8006,130.4114,35.87,55,98,3.89,overcast clouds
255,Tombouctou,ML,20.0,-3.0,89.78,21,2,8.28,clear sky
256,Shache,CN,38.4167,77.2406,69.06,29,100,9.19,overcast clouds
257,Aberdeen,GB,57.1437,-2.0981,42.21,93,75,1.14,broken clouds
258,Road Town,VG,18.4167,-64.6167,82.44,78,40,13.8,scattered clouds
259,Suf,JO,32.3137,35.8371,54.72,91,22,7.4,few clouds
260,Araouane,ML,18.9048,-3.5265,90.68,29,6,10.98,clear sky
261,Zhigansk,RU,66.7697,123.3711,42.19,44,35,0.47,scattered clouds
262,Chardara,KZ,41.2547,67.9692,70.83,42,87,2.28,overcast clouds
263,Alappuzha,IN,9.49,76.3264,80.33,82,99,3.15,overcast clouds
264,Sukhobezvodnoye,RU,57.0491,44.8891,50.11,75,57,4.99,broken clouds
265,Te Anau,NZ,-45.4167,167.7167,51.01,70,4,0.58,clear sky
266,Meulaboh,ID,4.1363,96.1285,81.46,74,96,1.43,overcast clouds
267,Vaini,TO,-21.2,-175.2,82.56,83,75,9.22,light rain
268,Hovd,MN,48.0056,91.6419,51.96,25,11,0.13,few clouds
269,Poronaysk,RU,49.2167,143.1167,49.78,77,56,7.2,broken clouds
270,Fort Atkinson,US,42.9289,-88.8371,75.88,93,0,7.7,clear sky
271,Lebu,CL,-37.6167,-73.65,50.61,88,11,7.63,few clouds
272,Rovinj,HR,45.08,13.64,64.22,92,100,15.75,overcast clouds
273,Lorengau,PG,-2.0226,147.2712,86.41,68,94,6.55,overcast clouds
274,Yenagoa,NG,4.9247,6.2642,72.68,96,98,3.67,overcast clouds
275,Guerrero Negro,MX,27.9769,-114.0611,60.78,62,0,21.79,clear sky
276,Manaure,CO,11.7751,-72.4445,81.34,76,100,19.77,overcast clouds
277,Mazatlan,MX,23.2167,-106.4167,78.91,79,7,1.99,clear sky
278,Hami,CN,42.8,93.45,62.65,13,1,10.78,clear sky
279,Ozinki,RU,51.1786,49.6769,68.36,45,46,7.54,scattered clouds
280,Kopavogur,IS,64.1123,-21.913,41.31,75,40,3.44,scattered clouds
281,Saint George,US,37.1041,-113.5841,68.59,15,1,5.99,clear sky
282,Marawi,PH,7.9986,124.2928,80.65,67,16,5.17,few clouds
283,Dunedin,NZ,-45.8742,170.5036,53.85,49,0,1.97,clear sky
284,Loubomo,CG,-4.1997,12.6739,70.56,97,98,2.59,overcast clouds
285,Nenjiang,CN,49.1833,125.2167,58.17,57,100,15.64,moderate rain
286,Hailey,US,43.5196,-114.3153,45.73,73,40,0.65,scattered clouds
287,Savannah Bight,HN,16.45,-85.85,82.0,81,69,20.47,broken clouds
288,Nelson Bay,AU,-32.7167,152.15,66.69,73,85,1.99,overcast clouds
289,Pindobacu,BR,-10.7417,-40.3608,67.71,84,100,1.97,overcast clouds
290,Bubaque,GW,11.2833,-15.8333,78.21,75,90,2.35,overcast clouds
291,Muslyumovo,RU,55.3033,53.1947,63.1,94,100,2.73,overcast clouds
292,Samarai,PG,-10.6167,150.6667,80.74,65,100,14.12,overcast clouds
293,Gizo,SB,-8.103,156.8419,82.63,79,100,9.28,moderate rain
294,Loandjili,CG,-4.7561,11.8578,80.71,83,75,5.75,broken clouds
295,Neuquen,AR,-38.9516,-68.0591,44.49,76,0,4.61,clear sky
296,Erdenet,MN,49.0333,104.0833,40.28,39,67,7.49,broken clouds
297,Tigil,RU,57.8,158.6667,43.32,61,100,6.4,overcast clouds
298,Nehe,CN,48.4833,124.8333,53.92,75,100,12.75,light rain
299,Pisco,PE,-13.7,-76.2167,65.01,82,90,10.36,overcast clouds
300,Flinders,AU,-34.5833,150.8552,68.2,70,3,3.0,clear sky
301,Piedras Negras,MX,28.7,-100.5167,87.24,59,27,19.73,scattered clouds
302,Ostrovnoy,RU,68.0531,39.5131,32.4,96,100,24.61,light snow
303,Brae,GB,60.3964,-1.353,39.11,75,8,5.06,clear sky
304,Aksarka,RU,66.5606,67.7975,59.27,68,100,12.57,light rain
305,Avera,US,33.194,-82.5271,71.69,58,100,4.25,overcast clouds
306,Havoysund,NO,70.9963,24.6622,32.88,57,97,8.86,overcast clouds
307,Lagoa,PT,39.05,-27.9833,58.28,63,12,7.07,few clouds
308,Paamiut,GL,61.994,-49.6678,32.0,60,90,6.91,overcast clouds
309,Bandar-E Lengeh,IR,26.5579,54.8807,85.8,59,0,7.31,clear sky
310,Darhan,MN,49.4867,105.9228,47.43,36,98,11.97,overcast clouds
311,Port Hedland,AU,-20.3167,118.5667,82.45,30,29,5.75,scattered clouds
312,Tefe,BR,-3.3542,-64.7114,75.07,98,100,3.0,overcast clouds
313,Marakkanam,IN,12.2,79.95,85.26,65,98,9.26,overcast clouds
314,Constitucion,CL,-35.3333,-72.4167,52.2,74,4,6.85,clear sky
315,Mount Isa,AU,-20.7333,139.5,78.57,36,0,10.36,clear sky
316,Baherden,TM,38.4362,57.4316,81.36,18,0,5.01,clear sky
317,Vondrozo,MG,-22.8167,47.2833,60.06,95,98,1.3,overcast clouds
318,Vostok,RU,46.4856,135.8833,77.36,30,0,3.83,clear sky
319,Niksic,ME,42.7731,18.9445,57.07,56,93,4.36,overcast clouds
320,Newark,US,40.7357,-74.1724,82.92,49,1,1.01,clear sky
321,Cabo San Lucas,MX,22.8909,-109.9124,86.81,57,96,15.35,overcast clouds
322,Port Hawkesbury,CA,45.6169,-61.3485,53.73,86,90,5.01,light rain
323,Westport,US,41.1415,-73.3579,80.85,83,100,8.43,overcast clouds
324,Qorveh,IR,35.1664,47.8045,57.56,49,3,5.68,clear sky
325,Sosnovka,RU,56.255,51.2842,55.94,90,100,3.29,light rain
326,Sibolga,ID,1.7427,98.7792,83.95,64,93,0.63,overcast clouds
327,Aketi,CD,2.7388,23.7833,69.28,99,100,2.3,overcast clouds
328,Ardakan,IR,32.31,54.0175,75.58,13,46,2.19,scattered clouds
329,Waipawa,NZ,-41.4122,175.5153,54.45,71,100,10.25,overcast clouds
330,Provideniya,RU,64.3833,-173.3,38.62,71,83,5.3,broken clouds
331,Bambous Virieux,MU,-20.3428,57.7575,70.21,74,75,17.52,broken clouds
332,Lincoln,US,40.8,-96.667,75.27,79,1,3.0,clear sky
333,Saint-Pierre,RE,-21.3393,55.4781,69.48,66,75,8.05,broken clouds
334,Caravelas,BR,-17.7125,-39.2481,73.89,79,100,7.38,overcast clouds
335,Brasilia,BR,-15.7797,-47.9297,67.12,73,0,2.3,clear sky
336,Itarema,BR,-2.9248,-39.9167,77.9,80,40,10.54,scattered clouds
337,Rosita,NI,13.9268,-84.4032,73.44,98,92,2.15,overcast clouds
338,Egvekinot,RU,66.3167,-179.1667,29.34,98,97,2.91,overcast clouds
339,Sarmanovo,RU,55.2553,52.5891,59.68,95,100,2.77,overcast clouds
340,Shubarkuduk,KZ,49.1447,56.4872,69.58,33,53,7.85,broken clouds
