City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,San Pedro,PH,89.35,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
457,Ambulu,ID,82.15,few clouds,-8.345,113.6058,Hotel Ambulu Jember
459,Atar,MR,82.31,clear sky,20.5169,-13.0499,Oumou Elghoura
461,Kudahuvadhoo,MV,83.52,light rain,2.6708,72.8944,Niyama Private Islands Maldives
464,Puri,IN,85.37,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
474,Tevaitoa,PF,81.16,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
507,Banda Aceh,ID,82.8,light rain,5.5577,95.3222,Sulthan Hotel International
518,Rio Grande City,US,81.1,broken clouds,26.3798,-98.8203,La Borde House
520,Isla Mujeres,MX,80.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
525,Bosaso,SO,86.7,overcast clouds,11.2842,49.1816,Red Sea Hotel
534,Banjar,ID,82.26,few clouds,-8.19,114.9675,The Hamsa Resort
549,Ocos,GT,84.31,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
551,Labuhan,ID,83.5,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
564,Mayo,US,82.11,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
565,Phangnga,TH,83.82,light rain,8.4509,98.5298,Sunimit Mansion
568,Minab,IR,80.1,clear sky,27.1467,57.0801,Bam campground
569,Mahina,PF,83.97,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
579,Acajutla,SV,84.79,broken clouds,13.5928,-89.8275,asi es
583,Biak,ID,80.98,broken clouds,-0.9131,122.8766,Penginapan Kim
587,Labuan,MY,80.76,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
589,Katobu,ID,85.48,few clouds,-4.9408,122.5276,La Ode Husein
611,Narwar,IN,87.39,few clouds,25.65,77.9,हनुमान मन्दिर
621,Hirara,JP,81.45,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
627,Sabang,ID,83.46,overcast clouds,5.8933,95.3214,Hotel Citra
646,Simao,CN,84.45,clear sky,22.7886,100.9748,Changyu Hotel
657,Zaraza,VE,80.15,broken clouds,9.3503,-65.3245,Hotel Zaraza
659,Yaring,TH,84.15,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
660,Ewa Beach,US,81.09,broken clouds,21.3156,-158.0072,Uncle Junior Robert
664,Nguru,NG,87.19,broken clouds,12.8791,10.4526,Government Lodge
666,San Nicolas,PH,89.08,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
671,Sorong,ID,81.86,scattered clouds,-0.8833,131.25,waigo splash hotel
676,Fare,PF,81.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
682,Colonelganj,IN,88.03,clear sky,27.1333,81.7,Bangil Setor
683,Pandan,PH,85.62,clear sky,14.0453,124.1694,Bonifacio Lodge
684,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
688,Banamba,ML,89.51,few clouds,13.55,-7.45,Kassela de Banamba
